salade de tomate;pizza;glace
olive;mousse framboise
tartines;steack fritte;glace
granitas
quiche;lasgne à la carbonara;crepe
olive;lasgne à la carbonara;glace
tacos;crepe
pizza;granitas
olive;lasagne;gauffre au nutelat
tartines;pizza;ile flottante
olive;pizza;crepe
oeufs mimosa;lasagne
cacahuette;hamburger fritte;crepe
salade de tomate;lasagne;glace
kebab;gauffre au nutelat
salade de tomate;tacos;mousse framboise
salade de tomate;hamburger fritte;glace
olive;steack fritte
cacahuette;kebab;mousse framboise
tartines;glace
cacahuette;hamburger fritte;gauffre au nutelat
lasgne à la carbonara;gauffre au nutelat
olive;steack fritte;mousse framboise
tartines;granitas
salade de tomate;lasagne;granitas
salade de tomate;tacos;gauffre au nutelat

pizza;mousse framboise
oeufs mimosa;pizza;mousse framboise
tartines;pizza;granitas
salade de tomate;lasgne à la carbonara;gauffre au nutelat
olive;kebab;glace
olive;steack fritte
olive;pizza;gauffre au nutelat
salade de tomate;tacos;granitas
olive;pizza;mousse framboise
tartines;lasagne
oeufs mimosa;lasagne a la carbonara;gauffre au nutelat
cacahuette;tacos;gauffre au nutelat
oeufs mimosa;kebab;crepe
cacahuette;hamburger fritte;gauffre au nutelat
quiche;lasagne;mousse framboise
tartines;glace
cacahuette;lasagne a la carbonara;gauffre au nutelat
cacahuette;kebab;granitas
quiche;hamburger fritte;gauffre au nutelat
olive;lasgne à la carbonara;granitas
olive;lasagne;crepe
quiche;pizza;ile flottante
olive;steack fritte;glace
pizza;mousse framboise
cacahuette;lasagne a la carbonara;mousse framboise
oeufs mimosa;pizza;mousse framboise
olive;lasagne a la carbonara;gauffre au nutelat
oeufs mimosa;lasagne;glace
quiche;tacos
cacahuette;lasagne a la carbonara;mousse framboise
cacahuette;lasagne;granitas
quiche;lasagne;crepe
olive;tacos;granitas
tartines;mousse framboise
olive;pizza;gauffre au nutelat
quiche;hamburger fritte;mousse framboise
quiche;kebab;granitas
lasagne a la carbonara
kebab;crepe
